Timestep,Name, Population, Infected, Recovered, Susceptible, Vaccinated
0, Deggendorf, 2, 0, 3998, 0
0, Regensburg, 2, 0, 14998, 0
0, Zweisel, 1, 0, 1499, 0
0, , 1, 0, 99, 0
1, Deggendorf, 2, 0, 3998, 0
1, Regensburg, 3, 0, 14997, 0
1, Zweisel, 1, 0, 1499, 0
1, , 1, 0, 99, 0
2, Deggendorf, 3, 0, 3997, 0
2, Regensburg, 5, 0, 14995, 0
2, Zweisel, 1, 0, 1499, 0
2, , 1, 0, 99, 0
3, Deggendorf, 4, 0, 3996, 0
3, Regensburg, 10, 0, 14990, 0
3, Zweisel, 2, 0, 1498, 0
3, , 2, 0, 98, 0
4, Deggendorf, 9, 2, 3989, 0
4, Regensburg, 22, 2, 14976, 0
4, Zweisel, 1, 1, 1498, 0
4, , 2, 1, 97, 0
5, Deggendorf, 16, 2, 3982, 0
5, Regensburg, 42, 3, 14955, 0
5, Zweisel, 1, 1, 1498, 0
5, , 3, 1, 96, 0
6, Deggendorf, 25, 3, 3972, 0
6, Regensburg, 64, 5, 14931, 0
6, Zweisel, 1, 1, 1498, 0
6, , 3, 1, 96, 0
7, Deggendorf, 44, 4, 3952, 0
7, Regensburg, 121, 10, 14869, 0
7, Zweisel, 1, 2, 1497, 0
7, , 5, 2, 93, 0
8, Deggendorf, 70, 11, 3919, 0
8, Regensburg, 189, 24, 14787, 0
8, Zweisel, 1, 2, 1497, 0
8, , 6, 3, 91, 0
9, Deggendorf, 118, 18, 3864, 0
9, Regensburg, 309, 45, 14646, 0
9, Zweisel, 1, 2, 1497, 0
9, , 7, 4, 89, 0
10, Deggendorf, 204, 28, 3768, 0
10, Regensburg, 533, 69, 14398, 0
10, Zweisel, 2, 2, 1496, 0
10, , 13, 4, 83, 0
11, Deggendorf, 307, 48, 3645, 0
11, Regensburg, 881, 131, 13988, 0
11, Zweisel, 1, 3, 1496, 0
11, , 13, 7, 80, 0
12, Deggendorf, 464, 81, 3455, 0
12, Regensburg, 1441, 213, 13346, 0
12, Zweisel, 2, 3, 1495, 0
12, , 23, 9, 68, 0
13, Deggendorf, 717, 136, 3147, 0
13, Regensburg, 2276, 354, 12370, 0
13, Zweisel, 2, 3, 1495, 0
13, , 32, 11, 57, 0
14, Deggendorf, 1012, 232, 2756, 0
14, Regensburg, 3397, 602, 11001, 0
14, Zweisel, 2, 4, 1494, 0
14, , 32, 17, 51, 0
15, Deggendorf, 1338, 355, 2307, 0
15, Regensburg, 4721, 1012, 9267, 0
15, Zweisel, 3, 4, 1493, 0
15, , 38, 20, 42, 0
16, Deggendorf, 1603, 545, 1852, 0
16, Regensburg, 5893, 1654, 7453, 0
16, Zweisel, 3, 5, 1492, 0
16, , 40, 32, 28, 0
17, Deggendorf, 1742, 853, 1405, 0
17, Regensburg, 6632, 2630, 5738, 0
17, Zweisel, 6, 5, 1489, 0
17, , 35, 43, 22, 0
18, Deggendorf, 1668, 1244, 1088, 0
18, Regensburg, 6695, 3999, 4306, 0
18, Zweisel, 6, 6, 1488, 0
18, , 35, 49, 16, 0
19, Deggendorf, 1462, 1693, 845, 0
19, Regensburg, 5995, 5733, 3272, 0
19, Zweisel, 9, 7, 1484, 0
19, , 31, 58, 11, 0
20, Deggendorf, 1163, 2147, 690, 0
20, Regensburg, 4866, 7547, 2587, 0
20, Zweisel, 9, 8, 1483, 0
20, , 19, 72, 9, 0
21, Deggendorf, 832, 2595, 573, 0
21, Regensburg, 3613, 9262, 2125, 0
21, Zweisel, 14, 11, 1475, 0
21, , 14, 78, 8, 0
22, Deggendorf, 586, 2912, 502, 0
22, Regensburg, 2496, 10694, 1810, 0
22, Zweisel, 23, 12, 1465, 0
22, , 9, 84, 7, 0
23, Deggendorf, 386, 3155, 459, 0
23, Regensburg, 1642, 11728, 1630, 0
23, Zweisel, 33, 16, 1451, 0
23, , 4, 89, 7, 0
24, Deggendorf, 255, 3310, 435, 0
24, Regensburg, 1050, 12413, 1537, 0
24, Zweisel, 56, 17, 1427, 0
24, , 2, 91, 7, 0
25, Deggendorf, 150, 3427, 423, 0
25, Regensburg, 663, 12875, 1462, 0
25, Zweisel, 95, 25, 1380, 0
25, , 1, 92, 7, 0
26, Deggendorf, 87, 3498, 415, 0
26, Regensburg, 379, 13190, 1431, 0
26, Zweisel, 159, 35, 1306, 0
26, , 0, 93, 7, 0
27, Deggendorf, 52, 3541, 407, 0
27, Regensburg, 211, 13370, 1419, 0
27, Zweisel, 256, 49, 1195, 0
27, , 0, 93, 7, 0
28, Deggendorf, 32, 3565, 403, 0
28, Regensburg, 126, 13463, 1411, 0
28, Zweisel, 374, 73, 1053, 0
28, , 0, 93, 7, 0
29, Deggendorf, 20, 3577, 403, 0
29, Regensburg, 60, 13538, 1402, 0
29, Zweisel, 496, 120, 884, 0
29, , 0, 93, 7, 0
30, Deggendorf, 14, 3585, 401, 0
30, Regensburg, 34, 13569, 1397, 0
30, Zweisel, 613, 194, 693, 0
30, , 0, 93, 7, 0
31, Deggendorf, 7, 3593, 400, 0
31, Regensburg, 22, 13581, 1397, 0
31, Zweisel, 689, 305, 506, 0
31, , 0, 93, 7, 0
32, Deggendorf, 3, 3597, 400, 0
32, Regensburg, 15, 13589, 1396, 0
32, Zweisel, 690, 447, 363, 0
32, , 0, 93, 7, 0
33, Deggendorf, 3, 3597, 400, 0
33, Regensburg, 6, 13598, 1396, 0
33, Zweisel, 608, 616, 276, 0
33, , 0, 93, 7, 0
34, Deggendorf, 2, 3599, 399, 0
34, Regensburg, 1, 13603, 1396, 0
34, Zweisel, 478, 807, 215, 0
34, , 0, 93, 7, 0
35, Deggendorf, 1, 3600, 399, 0
35, Regensburg, 1, 13603, 1396, 0
35, Zweisel, 328, 994, 178, 0
35, , 0, 93, 7, 0
36, Deggendorf, 1, 3600, 399, 0
36, Regensburg, 0, 13604, 1396, 0
36, Zweisel, 205, 1137, 158, 0
36, , 0, 93, 7, 0
37, Deggendorf, 1, 3600, 399, 0
37, Regensburg, 0, 13604, 1396, 0
37, Zweisel, 133, 1224, 143, 0
37, , 0, 93, 7, 0
38, Deggendorf, 0, 3601, 399, 0
38, Regensburg, 0, 13604, 1396, 0
38, Zweisel, 78, 1285, 137, 0
38, , 0, 93, 7, 0
39, Deggendorf, 0, 3601, 399, 0
39, Regensburg, 0, 13604, 1396, 0
39, Zweisel, 44, 1322, 134, 0
39, , 0, 93, 7, 0
40, Deggendorf, 0, 3601, 399, 0
40, Regensburg, 0, 13604, 1396, 0
40, Zweisel, 27, 1342, 131, 0
40, , 0, 93, 7, 0
41, Deggendorf, 0, 3601, 399, 0
41, Regensburg, 0, 13604, 1396, 0
41, Zweisel, 13, 1357, 130, 0
41, , 0, 93, 7, 0
42, Deggendorf, 0, 3601, 399, 0
42, Regensburg, 0, 13604, 1396, 0
42, Zweisel, 8, 1363, 129, 0
42, , 0, 93, 7, 0
43, Deggendorf, 0, 3601, 399, 0
43, Regensburg, 0, 13604, 1396, 0
43, Zweisel, 5, 1366, 129, 0
43, , 0, 93, 7, 0
44, Deggendorf, 0, 3601, 399, 0
44, Regensburg, 0, 13604, 1396, 0
44, Zweisel, 3, 1369, 128, 0
44, , 0, 93, 7, 0
45, Deggendorf, 0, 3601, 399, 0
45, Regensburg, 0, 13604, 1396, 0
45, Zweisel, 2, 1370, 128, 0
45, , 0, 93, 7, 0
46, Deggendorf, 0, 3601, 399, 0
46, Regensburg, 0, 13604, 1396, 0
46, Zweisel, 1, 1371, 128, 0
46, , 0, 93, 7, 0
47, Deggendorf, 0, 3601, 399, 0
47, Regensburg, 0, 13604, 1396, 0
47, Zweisel, 1, 1371, 128, 0
47, , 0, 93, 7, 0
48, Deggendorf, 0, 3601, 399, 0
48, Regensburg, 0, 13604, 1396, 0
48, Zweisel, 0, 1372, 128, 0
48, , 0, 93, 7, 0
0, Deggendorf, 2, 0, 3998, 0
0, Regensburg, 1, 0, 14999, 0
0, Zweisel, 2, 0, 1498, 0
0, , 1, 0, 99, 0
1, Deggendorf, 3, 0, 3997, 0
1, Regensburg, 2, 0, 14998, 0
1, Zweisel, 6, 0, 1494, 0
1, , 1, 0, 99, 0
2, Deggendorf, 11, 0, 3989, 0
2, Regensburg, 2, 0, 14998, 0
2, Zweisel, 10, 0, 1490, 0
2, , 1, 0, 99, 0
3, Deggendorf, 24, 0, 3976, 0
3, Regensburg, 3, 0, 14997, 0
3, Zweisel, 17, 0, 1483, 0
3, , 1, 0, 99, 0
4, Deggendorf, 41, 2, 3957, 0
4, Regensburg, 5, 1, 14994, 0
4, Zweisel, 38, 2, 1460, 0
4, , 1, 1, 98, 0
5, Deggendorf, 72, 3, 3925, 0
5, Regensburg, 10, 2, 14988, 0
5, Zweisel, 53, 6, 1441, 0
5, , 3, 1, 96, 0
6, Deggendorf, 102, 11, 3887, 0
6, Regensburg, 22, 2, 14976, 0
6, Zweisel, 82, 10, 1408, 0
6, , 3, 1, 96, 0
7, Deggendorf, 180, 24, 3796, 0
7, Regensburg, 37, 3, 14960, 0
7, Zweisel, 142, 17, 1341, 0
7, , 9, 1, 90, 0
8, Deggendorf, 279, 43, 3678, 0
8, Regensburg, 75, 6, 14919, 0
8, Zweisel, 224, 40, 1236, 0
8, , 18, 2, 80, 0
9, Deggendorf, 446, 75, 3479, 0
9, Regensburg, 140, 12, 14848, 0
9, Zweisel, 339, 59, 1102, 0
9, , 28, 4, 68, 0
10, Deggendorf, 671, 113, 3216, 0
10, Regensburg, 234, 24, 14742, 0
10, Zweisel, 459, 92, 949, 0
10, , 45, 4, 51, 0
11, Deggendorf, 963, 204, 2833, 0
11, Regensburg, 392, 40, 14568, 0
11, Zweisel, 575, 159, 766, 0
11, , 53, 10, 37, 0
12, Deggendorf, 1272, 322, 2406, 0
12, Regensburg, 629, 81, 14290, 0
12, Zweisel, 647, 264, 589, 0
12, , 66, 20, 14, 0
13, Deggendorf, 1567, 521, 1912, 0
13, Regensburg, 1026, 152, 13822, 0
13, Zweisel, 655, 398, 447, 0
13, , 60, 32, 8, 0
14, Deggendorf, 1737, 784, 1479, 0
14, Regensburg, 1660, 258, 13082, 0
14, Zweisel, 601, 551, 348, 0
14, , 44, 49, 7, 0
15, Deggendorf, 1725, 1167, 1108, 0
15, Regensburg, 2561, 432, 12007, 0
15, Zweisel, 500, 734, 266, 0
15, , 31, 63, 6, 0
16, Deggendorf, 1544, 1594, 862, 0
16, Regensburg, 3775, 710, 10515, 0
16, Zweisel, 369, 911, 220, 0
16, , 10, 86, 4, 0
17, Deggendorf, 1209, 2088, 703, 0
17, Regensburg, 5109, 1178, 8713, 0
17, Zweisel, 258, 1053, 189, 0
17, , 4, 92, 4, 0
18, Deggendorf, 888, 2521, 591, 0
18, Regensburg, 6243, 1918, 6839, 0
18, Zweisel, 184, 1152, 164, 0
18, , 3, 93, 4, 0
19, Deggendorf, 595, 2892, 513, 0
19, Regensburg, 6786, 2993, 5221, 0
19, Zweisel, 112, 1234, 154, 0
19, , 2, 94, 4, 0
20, Deggendorf, 389, 3138, 473, 0
20, Regensburg, 6536, 4485, 3979, 0
20, Zweisel, 74, 1280, 146, 0
20, , 0, 96, 4, 0
21, Deggendorf, 251, 3297, 452, 0
21, Regensburg, 5688, 6287, 3025, 0
21, Zweisel, 51, 1311, 138, 0
21, , 0, 96, 4, 0
22, Deggendorf, 162, 3409, 429, 0
22, Regensburg, 4431, 8161, 2408, 0
22, Zweisel, 27, 1336, 137, 0
22, , 0, 96, 4, 0
23, Deggendorf, 98, 3487, 415, 0
23, Regensburg, 3204, 9779, 2017, 0
23, Zweisel, 19, 1346, 135, 0
23, , 0, 96, 4, 0
24, Deggendorf, 66, 3527, 407, 0
24, Regensburg, 2223, 11021, 1756, 0
24, Zweisel, 12, 1354, 134, 0
24, , 0, 96, 4, 0
25, Deggendorf, 51, 3548, 401, 0
25, Regensburg, 1412, 11975, 1613, 0
25, Zweisel, 4, 1362, 134, 0
25, , 0, 96, 4, 0
26, Deggendorf, 32, 3571, 397, 0
26, Regensburg, 870, 12592, 1538, 0
26, Zweisel, 3, 1363, 134, 0
26, , 0, 96, 4, 0
27, Deggendorf, 20, 3585, 395, 0
27, Regensburg, 536, 12983, 1481, 0
27, Zweisel, 1, 1365, 134, 0
27, , 0, 96, 4, 0
28, Deggendorf, 12, 3593, 395, 0
28, Regensburg, 298, 13244, 1458, 0
28, Zweisel, 0, 1366, 134, 0
28, , 0, 96, 4, 0
29, Deggendorf, 7, 3599, 394, 0
29, Regensburg, 173, 13387, 1440, 0
29, Zweisel, 0, 1366, 134, 0
29, , 0, 96, 4, 0
30, Deggendorf, 3, 3603, 394, 0
30, Regensburg, 111, 13462, 1427, 0
30, Zweisel, 0, 1366, 134, 0
30, , 0, 96, 4, 0
31, Deggendorf, 2, 3605, 393, 0
31, Regensburg, 63, 13519, 1418, 0
31, Zweisel, 0, 1366, 134, 0
31, , 0, 96, 4, 0
32, Deggendorf, 2, 3605, 393, 0
32, Regensburg, 40, 13542, 1418, 0
32, Zweisel, 0, 1366, 134, 0
32, , 0, 96, 4, 0
33, Deggendorf, 2, 3606, 392, 0
33, Regensburg, 22, 13560, 1418, 0
33, Zweisel, 0, 1366, 134, 0
33, , 0, 96, 4, 0
34, Deggendorf, 2, 3606, 392, 0
34, Regensburg, 13, 13573, 1414, 0
34, Zweisel, 0, 1366, 134, 0
34, , 0, 96, 4, 0
35, Deggendorf, 1, 3607, 392, 0
35, Regensburg, 5, 13582, 1413, 0
35, Zweisel, 0, 1366, 134, 0
35, , 0, 96, 4, 0
36, Deggendorf, 1, 3607, 392, 0
36, Regensburg, 5, 13582, 1413, 0
36, Zweisel, 0, 1366, 134, 0
36, , 0, 96, 4, 0
37, Deggendorf, 0, 3608, 392, 0
37, Regensburg, 5, 13582, 1413, 0
37, Zweisel, 0, 1366, 134, 0
37, , 0, 96, 4, 0
38, Deggendorf, 0, 3608, 392, 0
38, Regensburg, 1, 13586, 1413, 0
38, Zweisel, 0, 1366, 134, 0
38, , 0, 96, 4, 0
39, Deggendorf, 0, 3608, 392, 0
39, Regensburg, 0, 13587, 1413, 0
39, Zweisel, 0, 1366, 134, 0
39, , 0, 96, 4, 0
0, Deggendorf, 2, 0, 3998, 0
0, Regensburg, 2, 0, 14998, 0
0, Zweisel, 2, 0, 1498, 0
0, , 1, 0, 99, 0
1, Deggendorf, 4, 0, 3996, 0
1, Regensburg, 2, 0, 14998, 0
1, Zweisel, 3, 0, 1497, 0
1, , 2, 0, 98, 0
2, Deggendorf, 5, 0, 3995, 0
2, Regensburg, 2, 0, 14998, 0
2, Zweisel, 7, 0, 1493, 0
2, , 5, 0, 95, 0
3, Deggendorf, 8, 0, 3992, 0
3, Regensburg, 2, 0, 14998, 0
3, Zweisel, 7, 0, 1493, 0
3, , 7, 0, 93, 0
4, Deggendorf, 9, 2, 3989, 0
4, Regensburg, 2, 2, 14996, 0
4, Zweisel, 10, 2, 1488, 0
4, , 8, 1, 91, 0
5, Deggendorf, 13, 4, 3983, 0
5, Regensburg, 6, 2, 14992, 0
5, Zweisel, 16, 3, 1481, 0
5, , 10, 2, 88, 0
6, Deggendorf, 24, 5, 3971, 0
6, Regensburg, 11, 2, 14987, 0
6, Zweisel, 22, 7, 1471, 0
6, , 21, 5, 74, 0
7, Deggendorf, 38, 8, 3954, 0
7, Regensburg, 17, 2, 14981, 0
7, Zweisel, 30, 7, 1463, 0
7, , 32, 7, 61, 0
8, Deggendorf, 66, 11, 3923, 0
8, Regensburg, 29, 4, 14967, 0
8, Zweisel, 49, 12, 1439, 0
8, , 45, 9, 46, 0
9, Deggendorf, 115, 17, 3868, 0
9, Regensburg, 35, 8, 14957, 0
9, Zweisel, 83, 19, 1398, 0
9, , 58, 12, 30, 0
10, Deggendorf, 182, 29, 3789, 0
10, Regensburg, 57, 13, 14930, 0
10, Zweisel, 126, 29, 1345, 0
10, , 52, 26, 22, 0
11, Deggendorf, 297, 46, 3657, 0
11, Regensburg, 105, 19, 14876, 0
11, Zweisel, 214, 37, 1249, 0
11, , 47, 39, 14, 0
12, Deggendorf, 453, 77, 3470, 0
12, Regensburg, 191, 33, 14776, 0
12, Zweisel, 327, 61, 1112, 0
12, , 36, 54, 10, 0
13, Deggendorf, 663, 132, 3205, 0
13, Regensburg, 344, 43, 14613, 0
13, Zweisel, 434, 102, 964, 0
13, , 23, 70, 7, 0
14, Deggendorf, 1007, 211, 2782, 0
14, Regensburg, 582, 70, 14348, 0
14, Zweisel, 564, 155, 781, 0
